transaction_id,account_code,dept_code,month,budget_amount
65,6104,BT,5/1/25,26500
66,6104,BT,6/1/25,26500
67,6104,BT,7/1/25,28000
68,6104,BT,8/1/25,28000
69,6104,BT,9/1/25,28000
70,6104,BT,10/1/25,28000
71,6104,BT,11/1/25,28000
72,6104,BT,12/1/25,28000
73,6105,BT,1/1/25,55000
74,6105,BT,2/1/25,55000
75,6105,BT,3/1/25,55000
76,6105,BT,4/1/25,55000
77,6105,BT,5/1/25,55000
78,6105,BT,6/1/25,55000
79,6105,BT,7/1/25,70000
80,6105,BT,8/1/25,70000
81,6105,BT,9/1/25,70000
82,6105,BT,10/1/25,70000
83,6105,BT,11/1/25,70000
84,6105,BT,12/1/25,70000
85,6106,BT,1/1/25,0
86,6106,BT,2/1/25,0
87,6106,BT,3/1/25,0
88,6106,BT,4/1/25,0
89,6106,BT,5/1/25,0
90,6106,BT,6/1/25,0
91,6106,BT,7/1/25,0
92,6106,BT,8/1/25,0
93,6106,BT,9/1/25,0
94,6106,BT,10/1/25,0
95,6106,BT,11/1/25,0
96,6106,BT,12/1/25,0
97,6209,BT,1/1/25,3753
98,6209,BT,2/1/25,3008
99,6209,BT,3/1/25,2865
100,6209,BT,4/1/25,5422
101,6209,BT,5/1/25,12116
102,6209,BT,6/1/25,5795
103,6209,BT,7/1/25,3150
104,6209,BT,8/1/25,4570
105,6209,BT,9/1/25,3298
106,6209,BT,10/1/25,2982
107,6209,BT,11/1/25,13822
108,6209,BT,12/1/25,10294
109,6301,BT,1/1/25,22115
110,6301,BT,2/1/25,31581
111,6301,BT,3/1/25,27428
112,6301,BT,4/1/25,24336
113,6301,BT,5/1/25,43198
114,6301,BT,6/1/25,23976
115,6301,BT,7/1/25,25810
116,6301,BT,8/1/25,24936
117,6301,BT,9/1/25,24867
118,6301,BT,10/1/25,21172
119,6301,BT,11/1/25,56642
120,6301,BT,12/1/25,45756
121,6302,BT,1/1/25,18167
122,6302,BT,2/1/25,24499
123,6302,BT,3/1/25,21662
124,6302,BT,4/1/25,19071
125,6302,BT,5/1/25,34342
126,6302,BT,6/1/25,18014
127,6302,BT,7/1/25,20697
128,6302,BT,8/1/25,19041
129,6302,BT,9/1/25,20365
130,6302,BT,10/1/25,17862
131,6302,BT,11/1/25,48084
132,6302,BT,12/1/25,39601
133,6401,BT,1/1/25,25234
134,6401,BT,2/1/25,32879
135,6401,BT,3/1/25,28237
136,6401,BT,4/1/25,25554
137,6401,BT,5/1/25,43978
138,6401,BT,6/1/25,23960
139,6401,BT,7/1/25,29161
140,6401,BT,8/1/25,26671
141,6401,BT,9/1/25,27018
142,6401,BT,10/1/25,24753
143,6401,BT,11/1/25,61145
144,6401,BT,12/1/25,54635
145,6402,BT,1/1/25,8541
146,6402,BT,2/1/25,11429
147,6402,BT,3/1/25,18692
148,6402,BT,4/1/25,8797
149,6402,BT,5/1/25,28390
150,6402,BT,6/1/25,8456
151,6402,BT,7/1/25,10539
152,6402,BT,8/1/25,9473
153,6402,BT,9/1/25,10032
154,6402,BT,10/1/25,8460
155,6402,BT,11/1/25,25742
156,6402,BT,12/1/25,16494
157,6403,BT,1/1/25,5759
158,6403,BT,2/1/25,7224
159,6403,BT,3/1/25,6429
160,6403,BT,4/1/25,6055
161,6403,BT,5/1/25,9189
162,6403,BT,6/1/25,5631
163,6403,BT,7/1/25,6718
164,6403,BT,8/1/25,6086
165,6403,BT,9/1/25,6252
166,6403,BT,10/1/25,5108
167,6403,BT,11/1/25,13926
168,6403,BT,12/1/25,11503
169,6404,BT,1/1/25,10589
170,6404,BT,2/1/25,14454
171,6404,BT,3/1/25,13365
172,6404,BT,4/1/25,11353
173,6404,BT,5/1/25,18444
174,6404,BT,6/1/25,10833
175,6404,BT,7/1/25,13371
176,6404,BT,8/1/25,11920
177,6404,BT,9/1/25,12371
178,6404,BT,10/1/25,10507
179,6404,BT,11/1/25,27536
180,6404,BT,12/1/25,23963
181,4000,FB,1/1/25,272085
182,4000,FB,2/1/25,225679
183,4000,FB,3/1/25,240792
184,4000,FB,4/1/25,247912
185,4000,FB,5/1/25,287723
186,4000,FB,6/1/25,201049
187,4000,FB,7/1/25,230225
188,4000,FB,8/1/25,218087
189,4000,FB,9/1/25,224511
190,4000,FB,10/1/25,232864
191,4000,FB,11/1/25,303568
192,4000,FB,12/1/25,290108
193,5000,FB,1/1/25,209477
194,5000,FB,2/1/25,178556
195,5000,FB,3/1/25,181318
196,5000,FB,4/1/25,198803
197,5000,FB,5/1/25,216513
198,5000,FB,6/1/25,161831
199,5000,FB,7/1/25,179864
200,5000,FB,8/1/25,170129
201,5000,FB,9/1/25,176313
202,5000,FB,10/1/25,188617
203,5000,FB,11/1/25,244378
204,5000,FB,12/1/25,224177
205,6101,FB,1/1/25,8000
206,6101,FB,2/1/25,8000
207,6101,FB,3/1/25,8000
208,6101,FB,4/1/25,8000
209,6101,FB,5/1/25,8000
210,6101,FB,6/1/25,8000
211,6101,FB,7/1/25,8200
212,6101,FB,8/1/25,8200
213,6101,FB,9/1/25,8200
214,6101,FB,10/1/25,8200
215,6101,FB,11/1/25,8200
216,6101,FB,12/1/25,8200
217,6102,FB,1/1/25,1400
218,6102,FB,2/1/25,1400
219,6102,FB,3/1/25,1400
220,6102,FB,4/1/25,1400
221,6102,FB,5/1/25,1400
222,6102,FB,6/1/25,1400
223,6102,FB,7/1/25,1600
224,6102,FB,8/1/25,1600
225,6102,FB,9/1/25,1600
226,6102,FB,10/1/25,1600
227,6102,FB,11/1/25,1600
228,6102,FB,12/1/25,1600
229,6103,FB,1/1/25,850
230,6103,FB,2/1/25,850
231,6103,FB,3/1/25,850
232,6103,FB,4/1/25,850
233,6103,FB,5/1/25,850
234,6103,FB,6/1/25,850
235,6103,FB,7/1/25,950
236,6103,FB,8/1/25,950
237,6103,FB,9/1/25,950
238,6103,FB,10/1/25,950
239,6103,FB,11/1/25,950
240,6103,FB,12/1/25,950
241,6104,FB,1/1/25,1700
242,6104,FB,2/1/25,1700
243,6104,FB,3/1/25,1700
244,6104,FB,4/1/25,1700
245,6104,FB,5/1/25,1700
246,6104,FB,6/1/25,1700
247,6104,FB,7/1/25,1900
248,6104,FB,8/1/25,1900
249,6104,FB,9/1/25,1900
250,6104,FB,10/1/25,1900
251,6104,FB,11/1/25,1900
252,6104,FB,12/1/25,1900
253,6105,FB,1/1/25,3700
254,6105,FB,2/1/25,3700
255,6105,FB,3/1/25,3700
256,6105,FB,4/1/25,3700
257,6105,FB,5/1/25,3700
258,6105,FB,6/1/25,3700
259,6105,FB,7/1/25,3900
260,6105,FB,8/1/25,3900
261,6105,FB,9/1/25,3900
262,6105,FB,10/1/25,3900
263,6105,FB,11/1/25,3900
264,6105,FB,12/1/25,3900
265,6209,FB,1/1/25,7085
266,6209,FB,2/1/25,4658
267,6209,FB,3/1/25,6215
268,6209,FB,4/1/25,4857
269,6209,FB,5/1/25,5292
270,6209,FB,6/1/25,3920
271,6209,FB,7/1/25,5572
272,6209,FB,8/1/25,5631
273,6209,FB,9/1/25,5426
274,6209,FB,10/1/25,3784
275,6209,FB,11/1/25,5864
276,6209,FB,12/1/25,7510
277,6301,FB,1/1/25,7085
278,6301,FB,2/1/25,4658
279,6301,FB,3/1/25,6215
280,6301,FB,4/1/25,4857
281,6301,FB,5/1/25,7633
282,6301,FB,6/1/25,3920
283,6301,FB,7/1/25,5572
284,6301,FB,8/1/25,5631
285,6301,FB,9/1/25,5426
286,6301,FB,10/1/25,3784
287,6301,FB,11/1/25,5864
288,6301,FB,12/1/25,7510
289,6302,FB,1/1/25,4401
290,6302,FB,2/1/25,3899
291,6302,FB,3/1/25,5508
292,6302,FB,4/1/25,4191
293,6302,FB,5/1/25,6922
294,6302,FB,6/1/25,3345
295,6302,FB,7/1/25,4849
296,6302,FB,8/1/25,4585
297,6302,FB,9/1/25,4650
298,6302,FB,10/1/25,3106
299,6302,FB,11/1/25,4831
300,6302,FB,12/1/25,6165
301,6401,FB,1/1/25,6069
302,6401,FB,2/1/25,5040
303,6401,FB,3/1/25,7371
304,6401,FB,4/1/25,5697
305,6401,FB,5/1/25,9816
306,6401,FB,6/1/25,4425
307,6401,FB,7/1/25,6481
308,6401,FB,8/1/25,6264
309,6401,FB,9/1/25,5861
310,6401,FB,10/1/25,4122
311,6401,FB,11/1/25,6074
312,6401,FB,12/1/25,7779
313,6402,FB,1/1/25,1305
314,6402,FB,2/1/25,1208
315,6402,FB,3/1/25,1531
316,6402,FB,4/1/25,1294
317,6402,FB,5/1/25,3662
318,6402,FB,6/1/25,969
319,6402,FB,7/1/25,1400
320,6402,FB,8/1/25,1319
321,6402,FB,9/1/25,1317
322,6402,FB,10/1/25,929
323,6402,FB,11/1/25,2591
324,6402,FB,12/1/25,3324
325,6403,FB,1/1/25,529
326,6403,FB,2/1/25,482
327,6403,FB,3/1/25,616
328,6403,FB,4/1/25,510
329,6403,FB,5/1/25,2898
330,6403,FB,6/1/25,406
331,6403,FB,7/1/25,566
332,6403,FB,8/1/25,559
333,6403,FB,9/1/25,561
334,6403,FB,10/1/25,380
335,6403,FB,11/1/25,2030
336,6403,FB,12/1/25,2581
337,6404,FB,1/1/25,1042
338,6404,FB,2/1/25,915
339,6404,FB,3/1/25,1336
340,6404,FB,4/1/25,990
341,6404,FB,5/1/25,3401
342,6404,FB,6/1/25,811
343,6404,FB,7/1/25,1099
344,6404,FB,8/1/25,1042
345,6404,FB,9/1/25,1044
346,6404,FB,10/1/25,742
347,6404,FB,11/1/25,2471
348,6404,FB,12/1/25,3105
349,6501,FB,1/1/25,1179
350,6501,FB,2/1/25,1059
351,6501,FB,3/1/25,1411
352,6501,FB,4/1/25,1161
353,6501,FB,5/1/25,1210
354,6501,FB,6/1/25,880
355,6501,FB,7/1/25,1272
356,6501,FB,8/1/25,1214
357,6501,FB,9/1/25,1204
358,6501,FB,10/1/25,916
359,6501,FB,11/1/25,848
360,6501,FB,12/1/25,1029
361,6101,GA,1/1/25,70000
362,6101,GA,2/1/25,70000
363,6101,GA,3/1/25,70000
364,6101,GA,4/1/25,70000
365,6101,GA,5/1/25,70000
366,6101,GA,6/1/25,70000
367,6101,GA,7/1/25,70000
368,6101,GA,8/1/25,70000
369,6101,GA,9/1/25,70000
370,6101,GA,10/1/25,70000
371,6101,GA,11/1/25,70000
372,6101,GA,12/1/25,70000
373,6102,GA,1/1/25,12000
374,6102,GA,2/1/25,12000
375,6102,GA,3/1/25,12000
376,6102,GA,4/1/25,12000
377,6102,GA,5/1/25,12000
378,6102,GA,6/1/25,12000
379,6102,GA,7/1/25,12000
380,6102,GA,8/1/25,12000
381,6102,GA,9/1/25,12000
382,6102,GA,10/1/25,12000
383,6102,GA,11/1/25,12000
384,6102,GA,12/1/25,12000
385,6103,GA,1/1/25,7000
386,6103,GA,2/1/25,7000
387,6103,GA,3/1/25,7000
388,6103,GA,4/1/25,7000
389,6103,GA,5/1/25,7000
390,6103,GA,6/1/25,7000
391,6103,GA,7/1/25,7000
392,6103,GA,8/1/25,7000
393,6103,GA,9/1/25,7000
394,6103,GA,10/1/25,7000
395,6103,GA,11/1/25,7000
396,6103,GA,12/1/25,7000
397,6104,GA,1/1/25,14000
398,6104,GA,2/1/25,14000
399,6104,GA,3/1/25,14000
400,6104,GA,4/1/25,14000
401,6104,GA,5/1/25,14000
402,6104,GA,6/1/25,14000
403,6104,GA,7/1/25,14000
404,6104,GA,8/1/25,14000
405,6104,GA,9/1/25,14000
406,6104,GA,10/1/25,14000
407,6104,GA,11/1/25,14000
408,6104,GA,12/1/25,14000
409,6105,GA,1/1/25,35000
410,6105,GA,2/1/25,35000
411,6105,GA,3/1/25,35000
412,6105,GA,4/1/25,35000
413,6105,GA,5/1/25,35000
414,6105,GA,6/1/25,35000
415,6105,GA,7/1/25,35000
416,6105,GA,8/1/25,35000
417,6105,GA,9/1/25,35000
418,6105,GA,10/1/25,35000
419,6105,GA,11/1/25,35000
420,6105,GA,12/1/25,35000
421,6201,GA,1/1/25,16600
422,6201,GA,2/1/25,16600
423,6201,GA,3/1/25,16600
424,6201,GA,4/1/25,16600
425,6201,GA,5/1/25,16600
426,6201,GA,6/1/25,16600
427,6201,GA,7/1/25,18260
428,6201,GA,8/1/25,18260
429,6201,GA,9/1/25,18260
430,6201,GA,10/1/25,18260
431,6201,GA,11/1/25,18260
432,6201,GA,12/1/25,18260
433,6202,GA,1/1/25,3735
434,6202,GA,2/1/25,3735
435,6202,GA,3/1/25,3735
436,6202,GA,4/1/25,3735
437,6202,GA,5/1/25,3735
438,6202,GA,6/1/25,3735
439,6202,GA,7/1/25,4150
440,6202,GA,8/1/25,4150
441,6202,GA,9/1/25,4150
442,6202,GA,10/1/25,4150
443,6202,GA,11/1/25,4150
444,6202,GA,12/1/25,4150
445,6203,GA,1/1/25,24900
446,6203,GA,2/1/25,24900
447,6203,GA,3/1/25,24900
448,6203,GA,4/1/25,24900
449,6203,GA,5/1/25,24900
450,6203,GA,6/1/25,24900
451,6203,GA,7/1/25,24900
452,6203,GA,8/1/25,24900
453,6203,GA,9/1/25,24900
454,6203,GA,10/1/25,24900
455,6203,GA,11/1/25,24900
456,6203,GA,12/1/25,24900
457,6204,GA,1/1/25,7000
458,6204,GA,2/1/25,7000
459,6204,GA,3/1/25,7000
460,6204,GA,4/1/25,7000
461,6204,GA,5/1/25,7000
462,6204,GA,6/1/25,7000
463,6204,GA,7/1/25,7000
464,6204,GA,8/1/25,7000
465,6204,GA,9/1/25,7000
466,6204,GA,10/1/25,7000
467,6204,GA,11/1/25,7000
468,6204,GA,12/1/25,7000
469,6206,GA,1/1/25,12450
470,6206,GA,2/1/25,12450
471,6206,GA,3/1/25,12450
472,6206,GA,4/1/25,12450
473,6206,GA,5/1/25,12450
474,6206,GA,6/1/25,12450
475,6206,GA,7/1/25,12450
476,6206,GA,8/1/25,12450
477,6206,GA,9/1/25,12450
478,6206,GA,10/1/25,12450
479,6206,GA,11/1/25,12450
480,6206,GA,12/1/25,12450
481,6207,GA,1/1/25,500
482,6207,GA,2/1/25,500
483,6207,GA,3/1/25,500
484,6207,GA,4/1/25,500
485,6207,GA,5/1/25,500
486,6207,GA,6/1/25,500
487,6207,GA,7/1/25,500
488,6207,GA,8/1/25,500
489,6207,GA,9/1/25,500
490,6207,GA,10/1/25,500
491,6207,GA,11/1/25,500
492,6207,GA,12/1/25,500
493,6208,GA,1/1/25,19090
494,6208,GA,2/1/25,19090
495,6208,GA,3/1/25,19090
496,6208,GA,4/1/25,19090
497,6208,GA,5/1/25,19090
498,6208,GA,6/1/25,19090
499,6208,GA,7/1/25,19090
500,6208,GA,8/1/25,19090
501,6208,GA,9/1/25,19090
502,6208,GA,10/1/25,19090
503,6208,GA,11/1/25,19090
504,6208,GA,12/1/25,19090
505,6209,GA,1/1/25,600
506,6209,GA,2/1/25,600
507,6209,GA,3/1/25,600
508,6209,GA,4/1/25,3000
509,6209,GA,5/1/25,600
510,6209,GA,6/1/25,600
511,6209,GA,7/1/25,600
512,6209,GA,8/1/25,600
513,6209,GA,9/1/25,600
514,6209,GA,10/1/25,600
515,6209,GA,11/1/25,600
516,6209,GA,12/1/25,600
517,6210,GA,1/1/25,1000
518,6210,GA,2/1/25,1000
519,6210,GA,3/1/25,1000
520,6210,GA,4/1/25,1000
521,6210,GA,5/1/25,1000
522,6210,GA,6/1/25,1000
523,6210,GA,7/1/25,1000
524,6210,GA,8/1/25,1000
525,6210,GA,9/1/25,1000
526,6210,GA,10/1/25,1000
527,6210,GA,11/1/25,1000
528,6210,GA,12/1/25,1000
529,4000,HP,1/1/25,502885
530,4000,HP,2/1/25,489413
531,4000,HP,3/1/25,525781
532,4000,HP,4/1/25,483981
533,4000,HP,5/1/25,893733
534,4000,HP,6/1/25,472924
535,4000,HP,7/1/25,474071
536,4000,HP,8/1/25,454651
537,4000,HP,9/1/25,488438
538,4000,HP,10/1/25,571388
539,4000,HP,11/1/25,870906
540,4000,HP,12/1/25,836193
541,5000,HP,1/1/25,369519
542,5000,HP,2/1/25,354079
543,5000,HP,3/1/25,379537
544,5000,HP,4/1/25,349272
545,5000,HP,5/1/25,647329
546,5000,HP,6/1/25,340834
547,5000,HP,7/1/25,345639
548,5000,HP,8/1/25,333644
549,5000,HP,9/1/25,356766
550,5000,HP,10/1/25,419463
551,5000,HP,11/1/25,633050
552,5000,HP,12/1/25,610038
553,6101,HP,1/1/25,55000
554,6101,HP,2/1/25,55000
555,6101,HP,3/1/25,55000
556,6101,HP,4/1/25,55000
557,6101,HP,5/1/25,55000
558,6101,HP,6/1/25,55000
559,6101,HP,7/1/25,58000
560,6101,HP,8/1/25,58000
561,6101,HP,9/1/25,58000
562,6101,HP,10/1/25,58000
563,6101,HP,11/1/25,58000
564,6101,HP,12/1/25,58000
565,6102,HP,1/1/25,8200
566,6102,HP,2/1/25,8200
567,6102,HP,3/1/25,8200
568,6102,HP,4/1/25,8200
569,6102,HP,5/1/25,8200
570,6102,HP,6/1/25,8200
571,6102,HP,7/1/25,8400
572,6102,HP,8/1/25,8400
573,6102,HP,9/1/25,8400
574,6102,HP,10/1/25,8400
575,6102,HP,11/1/25,8400
576,6102,HP,12/1/25,8400
577,6103,HP,1/1/25,5000
578,6103,HP,2/1/25,5000
579,6103,HP,3/1/25,5000
580,6103,HP,4/1/25,5000
581,6103,HP,5/1/25,5000
582,6103,HP,6/1/25,5000
583,6103,HP,7/1/25,5200
584,6103,HP,8/1/25,5200
585,6103,HP,9/1/25,5200
586,6103,HP,10/1/25,5200
587,6103,HP,11/1/25,5200
588,6103,HP,12/1/25,5200
589,6104,HP,1/1/25,9000
590,6104,HP,2/1/25,9000
591,6104,HP,3/1/25,9000
592,6104,HP,4/1/25,9000
593,6104,HP,5/1/25,9000
594,6104,HP,6/1/25,9000
595,6104,HP,7/1/25,11000
596,6104,HP,8/1/25,11000
597,6104,HP,9/1/25,11000
598,6104,HP,10/1/25,11000
599,6104,HP,11/1/25,11000
600,6104,HP,12/1/25,11000
601,6105,HP,1/1/25,21000
602,6105,HP,2/1/25,21000
603,6105,HP,3/1/25,21000
604,6105,HP,4/1/25,21000
605,6105,HP,5/1/25,21000
606,6105,HP,6/1/25,21000
607,6105,HP,7/1/25,24000
608,6105,HP,8/1/25,24000
609,6105,HP,9/1/25,24000
610,6105,HP,10/1/25,24000
611,6105,HP,11/1/25,24000
612,6105,HP,12/1/25,24000
613,6209,HP,1/1/25,1782
614,6209,HP,2/1/25,1768
615,6209,HP,3/1/25,1977
616,6209,HP,4/1/25,1874
617,6209,HP,5/1/25,4312
618,6209,HP,6/1/25,1670
619,6209,HP,7/1/25,1729
620,6209,HP,8/1/25,1484
621,6209,HP,9/1/25,1619
622,6209,HP,10/1/25,2043
623,6209,HP,11/1/25,4493
624,6209,HP,12/1/25,4174
625,6301,HP,1/1/25,1782
626,6301,HP,2/1/25,1768
627,6301,HP,3/1/25,1977
628,6301,HP,4/1/25,1874
629,6301,HP,5/1/25,4312
630,6301,HP,6/1/25,1670
631,6301,HP,7/1/25,1729
632,6301,HP,8/1/25,1484
633,6301,HP,9/1/25,1619
634,6301,HP,10/1/25,2043
635,6301,HP,11/1/25,4493
636,6301,HP,12/1/25,4174
637,6302,HP,1/1/25,1492
638,6302,HP,2/1/25,1472
639,6302,HP,3/1/25,1622
640,6302,HP,4/1/25,1472
641,6302,HP,5/1/25,3806
642,6302,HP,6/1/25,1475
643,6302,HP,7/1/25,1467
644,6302,HP,8/1/25,1280
645,6302,HP,9/1/25,1287
646,6302,HP,10/1/25,1557
647,6302,HP,11/1/25,4492
648,6302,HP,12/1/25,3733
649,6401,HP,1/1/25,1911
650,6401,HP,2/1/25,1908
651,6401,HP,3/1/25,2182
652,6401,HP,4/1/25,2140
653,6401,HP,5/1/25,4744
654,6401,HP,6/1/25,1873
655,6401,HP,7/1/25,1998
656,6401,HP,8/1/25,1671
657,6401,HP,9/1/25,1786
658,6401,HP,10/1/25,2160
659,6401,HP,11/1/25,3710
660,6401,HP,12/1/25,3550
661,6402,HP,1/1/25,1064
662,6402,HP,2/1/25,1078
663,6402,HP,3/1/25,1266
664,6402,HP,4/1/25,1197
665,6402,HP,5/1/25,3097
666,6402,HP,6/1/25,1084
667,6402,HP,7/1/25,1058
668,6402,HP,8/1/25,967
669,6402,HP,9/1/25,1059
670,6402,HP,10/1/25,1260
671,6402,HP,11/1/25,3216
672,6402,HP,12/1/25,3132
673,6403,HP,1/1/25,444
674,6403,HP,2/1/25,464
675,6403,HP,3/1/25,492
676,6403,HP,4/1/25,488
677,6403,HP,5/1/25,1964
678,6403,HP,6/1/25,415
679,6403,HP,7/1/25,433
680,6403,HP,8/1/25,363
681,6403,HP,9/1/25,417
682,6403,HP,10/1/25,484
683,6403,HP,11/1/25,1917
684,6403,HP,12/1/25,1851
685,6404,HP,1/1/25,833
686,6404,HP,2/1/25,921
687,6404,HP,3/1/25,950
688,6404,HP,4/1/25,941
689,6404,HP,5/1/25,1564
690,6404,HP,6/1/25,873
691,6404,HP,7/1/25,848
692,6404,HP,8/1/25,753
693,6404,HP,9/1/25,829
694,6404,HP,10/1/25,1009
695,6404,HP,11/1/25,1632
696,6404,HP,12/1/25,1572
697,6501,HP,1/1/25,1013
698,6501,HP,2/1/25,1047
699,6501,HP,3/1/25,1038
700,6501,HP,4/1/25,1029
701,6501,HP,5/1/25,1802
702,6501,HP,6/1/25,1005
703,6501,HP,7/1/25,1002
704,6501,HP,8/1/25,838
705,6501,HP,9/1/25,931
706,6501,HP,10/1/25,1100
707,6501,HP,11/1/25,1611
708,6501,HP,12/1/25,1588
709,4000,HW,1/1/25,736710
710,4000,HW,2/1/25,729777
711,4000,HW,3/1/25,750742
712,4000,HW,4/1/25,736077
713,4000,HW,5/1/25,1150550
714,4000,HW,6/1/25,668529
715,4000,HW,7/1/25,634004
716,4000,HW,8/1/25,682169
717,4000,HW,9/1/25,726064
718,4000,HW,10/1/25,698203
719,4000,HW,11/1/25,1145221
720,4000,HW,12/1/25,1169227
721,5000,HW,1/1/25,463332
722,5000,HW,2/1/25,476004
723,5000,HW,3/1/25,455543
724,5000,HW,4/1/25,465052
725,5000,HW,5/1/25,698205
726,5000,HW,6/1/25,422400
727,5000,HW,7/1/25,396477
728,5000,HW,8/1/25,435352
729,5000,HW,9/1/25,453686
730,5000,HW,10/1/25,439602
731,5000,HW,11/1/25,722106
732,5000,HW,12/1/25,742228
733,6101,HW,1/1/25,45000
734,6101,HW,2/1/25,45000
735,6101,HW,3/1/25,45000
736,6101,HW,4/1/25,45000
737,6101,HW,5/1/25,45000
738,6101,HW,6/1/25,45000
739,6101,HW,7/1/25,50000
740,6101,HW,8/1/25,50000
741,6101,HW,9/1/25,50000
742,6101,HW,10/1/25,50000
743,6101,HW,11/1/25,50000
744,6101,HW,12/1/25,50000
745,6102,HW,1/1/25,8500
746,6102,HW,2/1/25,8500
747,6102,HW,3/1/25,8500
748,6102,HW,4/1/25,8500
749,6102,HW,5/1/25,8500
750,6102,HW,6/1/25,8500
751,6102,HW,7/1/25,9000
752,6102,HW,8/1/25,9000
753,6102,HW,9/1/25,9000
754,6102,HW,10/1/25,9000
755,6102,HW,11/1/25,9000
756,6102,HW,12/1/25,9000
757,6103,HW,1/1/25,5000
758,6103,HW,2/1/25,5000
759,6103,HW,3/1/25,5000
760,6103,HW,4/1/25,5000
761,6103,HW,5/1/25,5000
762,6103,HW,6/1/25,5000
763,6103,HW,7/1/25,6000
764,6103,HW,8/1/25,6000
765,6103,HW,9/1/25,6000
766,6103,HW,10/1/25,6000
767,6103,HW,11/1/25,6000
768,6103,HW,12/1/25,6000
769,6104,HW,1/1/25,10000
770,6104,HW,2/1/25,10000
771,6104,HW,3/1/25,10000
772,6104,HW,4/1/25,10000
773,6104,HW,5/1/25,10000
774,6104,HW,6/1/25,10000
775,6104,HW,7/1/25,11000
776,6104,HW,8/1/25,11000
777,6104,HW,9/1/25,11000
778,6104,HW,10/1/25,11000
779,6104,HW,11/1/25,11000
780,6104,HW,12/1/25,11000
781,6105,HW,1/1/25,24000
782,6105,HW,2/1/25,24000
783,6105,HW,3/1/25,24000
784,6105,HW,4/1/25,24000
785,6105,HW,5/1/25,24000
786,6105,HW,6/1/25,24000
787,6105,HW,7/1/25,27000
788,6105,HW,8/1/25,27000
789,6105,HW,9/1/25,27000
790,6105,HW,10/1/25,27000
791,6105,HW,11/1/25,27000
792,6105,HW,12/1/25,27000
793,6209,HW,1/1/25,15637
794,6209,HW,2/1/25,13602
795,6209,HW,3/1/25,16546
796,6209,HW,4/1/25,12719
797,6209,HW,5/1/25,23298
798,6209,HW,6/1/25,10303
799,6209,HW,7/1/25,13729
800,6209,HW,8/1/25,12420
801,6209,HW,9/1/25,14040
802,6209,HW,10/1/25,11173
803,6209,HW,11/1/25,19966
804,6209,HW,12/1/25,19628
805,6301,HW,1/1/25,15637
806,6301,HW,2/1/25,13602
807,6301,HW,3/1/25,16546
808,6301,HW,4/1/25,12719
809,6301,HW,5/1/25,23298
810,6301,HW,6/1/25,10303
811,6301,HW,7/1/25,13729
812,6301,HW,8/1/25,12420
813,6301,HW,9/1/25,14040
814,6301,HW,10/1/25,11173
815,6301,HW,11/1/25,19966
816,6301,HW,12/1/25,19628
817,6302,HW,1/1/25,12124
818,6302,HW,2/1/25,10718
819,6302,HW,3/1/25,13486
820,6302,HW,4/1/25,10789
821,6302,HW,5/1/25,18182
822,6302,HW,6/1/25,9153
823,6302,HW,7/1/25,10519
824,6302,HW,8/1/25,10585
