"month","dept_code","account_category","account_category_sub","amount_type","amount"
"2025-04-01","BT","OpEX","Administrative expense","Actual","6164.00"
"2025-04-01","BT","OpEX","Administrative expense","Budget","5422.00"
"2025-04-01","BT","OpEX","Freight expense","Actual","49343.00"
"2025-04-01","BT","OpEX","Freight expense","Budget","43407.00"
"2025-04-01","BT","OpEX","Marketing expense","Actual","58837.00"
"2025-04-01","BT","OpEX","Marketing expense","Budget","51759.00"
"2025-04-01","BT","OpEX","Personnel Expense","Actual","221571.00"
"2025-04-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-04-01","BT","Revenue","Revenue","Actual","873082.00"
"2025-04-01","BT","Revenue","Revenue","Budget","987768.00"
"2025-04-01","FB","COGS","COGS","Actual","219568.00"
"2025-04-01","FB","COGS","COGS","Budget","198803.00"
"2025-04-01","FB","OpEX","Administrative expense","Actual","5671.00"
"2025-04-01","FB","OpEX","Administrative expense","Budget","4857.00"
"2025-04-01","FB","OpEX","Freight expense","Actual","10564.00"
"2025-04-01","FB","OpEX","Freight expense","Budget","9048.00"
"2025-04-01","FB","OpEX","Marketing expense","Actual","9914.00"
"2025-04-01","FB","OpEX","Marketing expense","Budget","8491.00"
"2025-04-01","FB","OpEX","Personnel Expense","Actual","17167.00"
"2025-04-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-04-01","FB","OpEX","R&D","Actual","1356.00"
"2025-04-01","FB","OpEX","R&D","Budget","1161.00"
"2025-04-01","FB","Revenue","Revenue","Actual","298796.00"
"2025-04-01","FB","Revenue","Revenue","Budget","247912.00"
"2025-04-01","GA","OpEX","Administrative expense","Actual","94175.00"
"2025-04-01","GA","OpEX","Administrative expense","Budget","88275.00"
"2025-04-01","GA","OpEX","Personnel Expense","Actual","144231.00"
"2025-04-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-04-01","HP","COGS","COGS","Actual","355146.00"
"2025-04-01","HP","COGS","COGS","Budget","349272.00"
"2025-04-01","HP","OpEX","Administrative expense","Actual","2603.00"
"2025-04-01","HP","OpEX","Administrative expense","Budget","1874.00"
"2025-04-01","HP","OpEX","Freight expense","Actual","4648.00"
"2025-04-01","HP","OpEX","Freight expense","Budget","3346.00"
"2025-04-01","HP","OpEX","Marketing expense","Actual","6621.00"
"2025-04-01","HP","OpEX","Marketing expense","Budget","4766.00"
"2025-04-01","HP","OpEX","Personnel Expense","Actual","115638.00"
"2025-04-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-04-01","HP","OpEX","R&D","Actual","1430.00"
"2025-04-01","HP","OpEX","R&D","Budget","1029.00"
"2025-04-01","HP","Revenue","Revenue","Actual","487646.00"
"2025-04-01","HP","Revenue","Revenue","Budget","483981.00"
"2025-04-01","HW","COGS","COGS","Actual","650835.00"
"2025-04-01","HW","COGS","COGS","Budget","465052.00"
"2025-04-01","HW","OpEX","Administrative expense","Actual","13892.00"
"2025-04-01","HW","OpEX","Administrative expense","Budget","12719.00"
"2025-04-01","HW","OpEX","Freight expense","Actual","25676.00"
"2025-04-01","HW","OpEX","Freight expense","Budget","23508.00"
"2025-04-01","HW","OpEX","Marketing expense","Actual","35605.00"
"2025-04-01","HW","OpEX","Marketing expense","Budget","32600.00"
"2025-04-01","HW","OpEX","Personnel Expense","Actual","98342.00"
"2025-04-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-04-01","HW","OpEX","R&D","Actual","10807.00"
"2025-04-01","HW","OpEX","R&D","Budget","9895.00"
"2025-04-01","HW","Revenue","Revenue","Actual","1001141.00"
"2025-04-01","HW","Revenue","Revenue","Budget","736077.00"
"2025-05-01","BT","COGS","COGS","Actual","1358776.00"
"2025-05-01","BT","COGS","COGS","Budget","1206079.00"
"2025-05-01","BT","OpEX","Administrative expense","Actual","8381.00"
"2025-05-01","BT","OpEX","Administrative expense","Budget","12116.00"
"2025-05-01","BT","OpEX","Freight expense","Actual","53636.00"
"2025-05-01","BT","OpEX","Freight expense","Budget","77540.00"
"2025-05-01","BT","OpEX","Marketing expense","Actual","69172.00"
"2025-05-01","BT","OpEX","Marketing expense","Budget","100001.00"
"2025-05-01","BT","OpEX","Personnel Expense","Actual","223360.00"
"2025-05-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-05-01","BT","Revenue","Revenue","Actual","2402362.00"
"2025-05-01","BT","Revenue","Revenue","Budget","1994603.00"
"2025-05-01","FB","COGS","COGS","Actual","288175.00"
"2025-05-01","FB","COGS","COGS","Budget","216513.00"
"2025-05-01","FB","OpEX","Administrative expense","Actual","5653.00"
"2025-05-01","FB","OpEX","Administrative expense","Budget","5292.00"
"2025-05-01","FB","OpEX","Freight expense","Actual","15547.00"
"2025-05-01","FB","OpEX","Freight expense","Budget","14555.00"
"2025-05-01","FB","OpEX","Marketing expense","Actual","21126.00"
"2025-05-01","FB","OpEX","Marketing expense","Budget","19777.00"
"2025-05-01","FB","OpEX","Personnel Expense","Actual","19531.00"
"2025-05-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-05-01","FB","OpEX","R&D","Actual","1292.00"
"2025-05-01","FB","OpEX","R&D","Budget","1210.00"
"2025-05-01","FB","Revenue","Revenue","Actual","387950.00"
"2025-05-01","FB","Revenue","Revenue","Budget","287723.00"
"2025-05-01","GA","OpEX","Administrative expense","Actual","86988.00"
"2025-05-01","GA","OpEX","Administrative expense","Budget","85875.00"
"2025-05-01","GA","OpEX","Personnel Expense","Actual","144098.00"
"2025-05-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-05-01","HP","COGS","COGS","Actual","610463.00"
"2025-05-01","HP","COGS","COGS","Budget","647329.00"
"2025-05-01","HP","OpEX","Administrative expense","Actual","3563.00"
"2025-05-01","HP","OpEX","Administrative expense","Budget","4312.00"
"2025-05-01","HP","OpEX","Freight expense","Actual","6708.00"
"2025-05-01","HP","OpEX","Freight expense","Budget","8118.00"
"2025-05-01","HP","OpEX","Marketing expense","Actual","9394.00"
"2025-05-01","HP","OpEX","Marketing expense","Budget","11369.00"
"2025-05-01","HP","OpEX","Personnel Expense","Actual","115802.00"
"2025-05-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-05-01","HP","OpEX","R&D","Actual","1489.00"
"2025-05-01","HP","OpEX","R&D","Budget","1802.00"
"2025-05-01","HP","Revenue","Revenue","Actual","892050.00"
"2025-05-01","HP","Revenue","Revenue","Budget","893733.00"
"2025-05-01","HW","COGS","COGS","Actual","797357.00"
"2025-05-01","HW","COGS","COGS","Budget","698205.00"
"2025-05-01","HW","OpEX","Administrative expense","Actual","15283.00"
"2025-05-01","HW","OpEX","Administrative expense","Budget","23298.00"
"2025-05-01","HW","OpEX","Freight expense","Actual","27210.00"
"2025-05-01","HW","OpEX","Freight expense","Budget","41480.00"
"2025-05-01","HW","OpEX","Marketing expense","Actual","36387.00"
"2025-05-01","HW","OpEX","Marketing expense","Budget","55469.00"
"2025-05-01","HW","OpEX","Personnel Expense","Actual","98402.00"
"2025-05-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-05-01","HW","OpEX","R&D","Actual","8045.00"
"2025-05-01","HW","OpEX","R&D","Budget","12264.00"
"2025-05-01","HW","Revenue","Revenue","Actual","1285340.00"
"2025-05-01","HW","Revenue","Revenue","Budget","1150550.00"
"2025-06-01","BT","COGS","COGS","Actual","757537.00"
"2025-06-01","BT","COGS","COGS","Budget","741605.00"
"2025-06-01","BT","OpEX","Administrative expense","Actual","6853.00"
"2025-06-01","BT","OpEX","Administrative expense","Budget","5795.00"
"2025-06-01","BT","OpEX","Freight expense","Actual","49655.00"
"2025-06-01","BT","OpEX","Freight expense","Budget","41990.00"
"2025-06-01","BT","OpEX","Marketing expense","Actual","57804.00"
"2025-06-01","BT","OpEX","Marketing expense","Budget","48880.00"
"2025-06-01","BT","OpEX","Personnel Expense","Actual","231376.00"
"2025-06-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-06-01","BT","Revenue","Revenue","Actual","1299824.00"
"2025-06-01","BT","Revenue","Revenue","Budget","1193852.00"
"2025-06-01","FB","COGS","COGS","Actual","226645.00"
"2025-06-01","FB","COGS","COGS","Budget","161831.00"
"2025-06-01","FB","OpEX","Administrative expense","Actual","5844.00"
"2025-06-01","FB","OpEX","Administrative expense","Budget","3920.00"
"2025-06-01","FB","OpEX","Freight expense","Actual","10831.00"
"2025-06-01","FB","OpEX","Freight expense","Budget","7265.00"
"2025-06-01","FB","OpEX","Marketing expense","Actual","9856.00"
"2025-06-01","FB","OpEX","Marketing expense","Budget","6611.00"
"2025-06-01","FB","OpEX","Personnel Expense","Actual","17192.00"
"2025-06-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-06-01","FB","OpEX","R&D","Actual","1312.00"
"2025-06-01","FB","OpEX","R&D","Budget","880.00"
"2025-06-01","FB","Revenue","Revenue","Actual","290979.00"
"2025-06-01","FB","Revenue","Revenue","Budget","201049.00"
"2025-06-01","GA","OpEX","Administrative expense","Actual","94815.00"
"2025-06-01","GA","OpEX","Administrative expense","Budget","85875.00"
"2025-06-01","GA","OpEX","Personnel Expense","Actual","148915.00"
"2025-06-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-06-01","HP","COGS","COGS","Actual","353111.00"
"2025-06-01","HP","COGS","COGS","Budget","340834.00"
"2025-06-01","HP","OpEX","Administrative expense","Actual","2580.00"
"2025-06-01","HP","OpEX","Administrative expense","Budget","1670.00"
"2025-06-01","HP","OpEX","Freight expense","Actual","4858.00"
"2025-06-01","HP","OpEX","Freight expense","Budget","3145.00"
"2025-06-01","HP","OpEX","Marketing expense","Actual","6558.00"
"2025-06-01","HP","OpEX","Marketing expense","Budget","4245.00"
"2025-06-01","HP","OpEX","Personnel Expense","Actual","117266.00"
"2025-06-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-06-01","HP","OpEX","R&D","Actual","1553.00"
"2025-06-01","HP","OpEX","R&D","Budget","1005.00"
"2025-06-01","HP","Revenue","Revenue","Actual","479402.00"
"2025-06-01","HP","Revenue","Revenue","Budget","472924.00"
"2025-06-01","HW","COGS","COGS","Actual","398804.00"
"2025-06-01","HW","COGS","COGS","Budget","422400.00"
"2025-06-01","HW","OpEX","Administrative expense","Actual","14215.00"
"2025-06-01","HW","OpEX","Administrative expense","Budget","10303.00"
"2025-06-01","HW","OpEX","Freight expense","Actual","26844.00"
"2025-06-01","HW","OpEX","Freight expense","Budget","19456.00"
"2025-06-01","HW","OpEX","Marketing expense","Actual","36243.00"
"2025-06-01","HW","OpEX","Marketing expense","Budget","26267.00"
"2025-06-01","HW","OpEX","Personnel Expense","Actual","100871.00"
"2025-06-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-06-01","HW","OpEX","R&D","Actual","8519.00"
"2025-06-01","HW","OpEX","R&D","Budget","6174.00"
"2025-06-01","HW","Revenue","Revenue","Actual","613463.00"
"2025-06-01","HW","Revenue","Revenue","Budget","668529.00"
"2025-07-01","BT","COGS","COGS","Actual","657656.00"
"2025-07-01","BT","COGS","COGS","Budget","855566.00"
"2025-07-01","BT","OpEX","Administrative expense","Actual","2989.00"
"2025-07-01","BT","OpEX","Administrative expense","Budget","3150.00"
"2025-07-01","BT","OpEX","Freight expense","Actual","44127.00"
"2025-07-01","BT","OpEX","Freight expense","Budget","46507.00"
"2025-07-01","BT","OpEX","Marketing expense","Actual","56730.00"
"2025-07-01","BT","OpEX","Marketing expense","Budget","59789.00"
"2025-07-01","BT","OpEX","Personnel Expense","Actual","212017.00"
"2025-07-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-07-01","BT","Revenue","Revenue","Actual","1173968.00"
"2025-07-01","BT","Revenue","Revenue","Budget","1347795.00"
"2025-07-01","FB","COGS","COGS","Actual","208390.00"
"2025-07-01","FB","COGS","COGS","Budget","179864.00"
"2025-07-01","FB","OpEX","Administrative expense","Actual","5298.00"
"2025-07-01","FB","OpEX","Administrative expense","Budget","5572.00"
"2025-07-01","FB","OpEX","Freight expense","Actual","9909.00"
"2025-07-01","FB","OpEX","Freight expense","Budget","10421.00"
"2025-07-01","FB","OpEX","Marketing expense","Actual","9076.00"
"2025-07-01","FB","OpEX","Marketing expense","Budget","9546.00"
"2025-07-01","FB","OpEX","Personnel Expense","Actual","15898.00"
"2025-07-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-07-01","FB","OpEX","R&D","Actual","1209.00"
"2025-07-01","FB","OpEX","R&D","Budget","1272.00"
"2025-07-01","FB","Revenue","Revenue","Actual","272214.00"
"2025-07-01","FB","Revenue","Revenue","Budget","230225.00"
"2025-07-01","GA","OpEX","Administrative expense","Actual","83281.00"
"2025-07-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-07-01","GA","OpEX","Personnel Expense","Actual","133820.00"
"2025-07-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-07-01","HP","COGS","COGS","Actual","331146.00"
"2025-07-01","HP","COGS","COGS","Budget","345639.00"
"2025-07-01","HP","OpEX","Administrative expense","Actual","2448.00"
"2025-07-01","HP","OpEX","Administrative expense","Budget","1729.00"
"2025-07-01","HP","OpEX","Freight expense","Actual","4526.00"
"2025-07-01","HP","OpEX","Freight expense","Budget","3196.00"
"2025-07-01","HP","OpEX","Marketing expense","Actual","6142.00"
"2025-07-01","HP","OpEX","Marketing expense","Budget","4337.00"
"2025-07-01","HP","OpEX","Personnel Expense","Actual","106282.00"
"2025-07-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-07-01","HP","OpEX","R&D","Actual","1419.00"
"2025-07-01","HP","OpEX","R&D","Budget","1002.00"
"2025-07-01","HP","Revenue","Revenue","Actual","477290.00"
"2025-07-01","HP","Revenue","Revenue","Budget","474071.00"
"2025-07-01","HW","COGS","COGS","Actual","405712.00"
"2025-07-01","HW","COGS","COGS","Budget","396477.00"
"2025-07-01","HW","OpEX","Administrative expense","Actual","14170.00"
"2025-07-01","HW","OpEX","Administrative expense","Budget","13729.00"
"2025-07-01","HW","OpEX","Freight expense","Actual","25027.00"
"2025-07-01","HW","OpEX","Freight expense","Budget","24248.00"
"2025-07-01","HW","OpEX","Marketing expense","Actual","32780.00"
"2025-07-01","HW","OpEX","Marketing expense","Budget","31760.00"
"2025-07-01","HW","OpEX","Personnel Expense","Actual","92107.00"
"2025-07-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-07-01","HW","OpEX","R&D","Actual","8122.00"
"2025-07-01","HW","OpEX","R&D","Budget","7869.00"
"2025-07-01","HW","Revenue","Revenue","Actual","615004.00"
"2025-07-01","HW","Revenue","Revenue","Budget","634004.00"
"2025-08-01","BT","COGS","COGS","Actual","500202.00"
"2025-08-01","BT","COGS","COGS","Budget","589493.00"
"2025-08-01","BT","OpEX","Administrative expense","Actual","4824.00"
"2025-08-01","BT","OpEX","Administrative expense","Budget","4570.00"
"2025-08-01","BT","OpEX","Freight expense","Actual","46425.00"
"2025-08-01","BT","OpEX","Freight expense","Budget","43977.00"
"2025-08-01","BT","OpEX","Marketing expense","Actual","57163.00"
"2025-08-01","BT","OpEX","Marketing expense","Budget","54150.00"
"2025-08-01","BT","OpEX","Personnel Expense","Actual","212889.00"
"2025-08-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-08-01","BT","Revenue","Revenue","Actual","844365.00"
"2025-08-01","BT","Revenue","Revenue","Budget","964883.00"
"2025-08-01","FB","COGS","COGS","Actual","208682.00"
"2025-08-01","FB","COGS","COGS","Budget","170129.00"
"2025-08-01","FB","OpEX","Administrative expense","Actual","5725.00"
"2025-08-01","FB","OpEX","Administrative expense","Budget","5631.00"
"2025-08-01","FB","OpEX","Freight expense","Actual","10386.00"
"2025-08-01","FB","OpEX","Freight expense","Budget","10216.00"
"2025-08-01","FB","OpEX","Marketing expense","Actual","9336.00"
"2025-08-01","FB","OpEX","Marketing expense","Budget","9184.00"
"2025-08-01","FB","OpEX","Personnel Expense","Actual","16082.00"
"2025-08-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-08-01","FB","OpEX","R&D","Actual","1234.00"
"2025-08-01","FB","OpEX","R&D","Budget","1214.00"
"2025-08-01","FB","Revenue","Revenue","Actual","276249.00"
"2025-08-01","FB","Revenue","Revenue","Budget","218087.00"
"2025-08-01","GA","OpEX","Administrative expense","Actual","85047.00"
"2025-08-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-08-01","GA","OpEX","Personnel Expense","Actual","134534.00"
"2025-08-01","GA","OpEX","Personnel Expense","Budget","138000.00"
